"1","Motorola","SBG900","2.1.18.0-NOSH","1"
"2","Motorola","SBG940","2.1.18.0-NOSH","1"
"3","Motorola","SVG1202","05-741-LTSH","1"
"4","Motorola","SBG901
","03-501-NOSH ","1"
"5","ARRIS","862","7.5.125B","1"
"6","ARRIS","862","7.5.125C","1"
"7","Thomson","DCW725","ST5A.31.13","1"
"8","Thomson","DWG849","STC0.01.16","1"
"9","Technicolor","TC7110","STD3.31.19","1"
"10","Technicolor","TC7300","STF3.31.02","1"
"11","Ubee","2608","5,117,1007","1"
"12","Ubee","2100","6.28.4003","1"
"13","Ubee","2110","6.36.1005","1"
"14","Cisco","DPC2420","120921as","1"
"15","Cisco","DPC2420R2","140106as-v6","1"
"16","Cisco","DPC2425","120921as","1"
"17","Cisco","DPC2434-X","110128as","1"
"18","Cisco","DPC3925","131025a","1"
"19","Cisco","DPC3925","140829a","1"
"20","Coship","Claro Video","N9085I","1"
