"1","Motorola","General","1"
"2","Motorola","General_HD","1"
"3","Motorola","General_SD","1"
"4","Motorola","General_PVR","1"
"5","Motorola","DC1","1"
"6","Motorola","DC7","1"
"7","Motorola","DC8","1"
"8","Motorola","DCI","1"
"9","Motorola","DCV","1"
"10","Motorola","D34","1"
"11","Motorola","DCX","1"
"12","Motorola","DX2","1"
"13","Motorola","DX4","1"
"14","Motorola","DX5","1"
"15","Motorola","DX7","1"
"16","Motorola","Arris_X25","1"
"17","DVB","General","1"
"18","DVB","General_SD","1"
"19","DVB","General_HD","1"
"20","DVB","General_PVR","1"
"21","DVB_Huawei","SD_HLC ","1"
"22","DVB_Huawei","SD_WHI ","1"
"23","DVB_Huawei","HD_HHD","1"
"24","DVB_Huawei","PVR_HPV","1"
"25","DVB_Skyworth","SD_SKY","1"
"26","DVB_Coship","SD_CSH","1"
"27","DVB_Coship","HD_CHD","1"
"28","DTH","General","1"
"29","DTH_ARION","ARI","1"
"30","DTH_ARION","AF-5012S","1"
"31","DTH_ARION","ARD-2810HP","1"
"32","DTH_ARION","AF-5210VHD","1"
